Loyalty Number,Country,Province,City,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month
101602,Canada,New Brunswick,Fredericton,Female,Bachelor,80785,Single,Nova,1705.11,Standard,2017,10,,
101603,Canada,Ontario,Mississauga,Female,Bachelor,74474,Married,Star,5444.79,Standard,2017,11,2018.0,10.0
101604,Canada,British Columbia,Surrey,Female,Bachelor,77157,Single,Nova,3092.27,Standard,2016,11,,
101605,Canada,British Columbia,Surrey,Male,Bachelor,61518,Single,Nova,3107.08,Standard,2017,5,,
101606,Canada,Ontario,London,Female,Bachelor,80200,Married,Star,487.07,Standard,2012,9,2018.0,3.0
101607,Canada,Alberta,Edmonton,Male,Bachelor,85567,Single,Star,3269.46,Standard,2018,2,,
101608,Canada,British Columbia,Victoria,Female,Bachelor,64398,Single,Aurora,14888.05,Standard,2014,10,,
101609,Canada,Ontario,London,Female,Master,111362,Single,Nova,2181.73,2018 Promotion,2018,2,2017.0,2.0
101610,Canada,Newfoundland and Labrador,St. Johns,Female,Bachelor,65497,Married,Star,1109.2,Standard,2018,5,,
101611,Canada,British Columbia,Burnaby,Male,College,64009,Married,Aurora,7319.03,Standard,2018,10,2018.0,8.0
101612,Canada,Quebec,Quebec City,Male,College,53284,Married,Nova,5102.82,Standard,2017,6,,
101613,Canada,Quebec,Montreal,Male,Master,120559,Single,Nova,4547.69,Standard,2015,4,,
101614,Canada,British Columbia,Victoria,Male,Master,93374,Married,Nova,9622.41,2018 Promotion,2018,3,,
101615,Canada,British Columbia,Surrey,Male,College,51183,Married,Star,664.99,2018 Promotion,2018,4,,
101616,Canada,Ontario,Toronto,Female,High School or Below,44661,Married,Star,287.72,Standard,2012,1,2018.0,5.0
101617,United Kingdom,,Chicago,Male,Doctor,146726,Single,Star,2778.25,Standard,2017,1,,
101618,Canada,British Columbia,Vancouver,Female,Bachelor,94177,Married,Star,5259.41,Standard,2016,11,,
101619,Canada,Prince Edward Island,Charlottetown,Male,High School or Below,48838,Married,Star,2047.54,Standard,2016,3,2017.0,3.0
101620,Canada,Quebec,Gatineau,Female,College,51742,Married,Star,3744.75,Standard,2018,10,,
101621,Canada,Alberta,Lethbridge,Male,Bachelor,85505,Divorced,Aurora,11495.74,Standard,2016,8,,
101622,Canada,Ontario,Hamilton,Female,High School or Below,36846,Married,Star,2034.53,2018 Promotion,2018,4,2017.0,5.0
101623,Canada,Ontario,London,Female,Bachelor,94696,Single,Nova,8776.06,Standard,2012,12,,
101624,United States,,Chicago,Male,Bachelor,98997,Married,Nova,1119.47,2018 Promotion,2018,3,2017.0,2.0
101625,Canada,Quebec,Gatineau,Female,Bachelor,83826,Married,Star,2063.79,Standard,2016,6,,
101626,Canada,Ontario,Ottawa,Female,College,57379,Single,Star,220.03,Standard,2018,11,,
101627,Canada,Alberta,Lethbridge,Female,Doctor,171293,Married,Nova,4469.23,2018 Promotion,2018,3,2018.0,8.0
101628,Canada,British Columbia,Surrey,Male,College,71090,Single,Star,2116.88,Standard,2017,5,2017.0,9.0
101629,Canada,New Brunswick,Fredericton,Female,Bachelor,57433,Married,Star,760.94,Standard,2016,2,2018.0,8.0
101630,Canada,British Columbia,Surrey,Female,College,63773,Married,Star,1176.19,Standard,2016,4,,
101631,Canada,Alberta,Lethbridge,Female,College,57874,Married,Nova,2374.77,Standard,2017,12,,
101632,Canada,Saskatchewan,Saskatoon,Female,Bachelor,63100,Divorced,Star,1686.82,Standard,2017,9,,
101633,Canada,Ontario,Ottawa,Male,College,72867,Single,Star,1275.35,Standard,2012,8,,
101634,Canada,Ontario,Toronto,Female,Bachelor,70666,Married,Nova,3923.74,Standard,2017,6,,
101635,United States,,Chicago,Female,High School or Below,50724,Divorced,Aurora,5241.48,Standard,2017,6,2017.0,3.0
101636,Canada,Quebec,Laval,Male,Bachelor,74061,Single,Star,2069.82,Standard,2016,2,2018.0,1.0
101637,Canada,Ontario,Mississauga,Male,College,49220,Divorced,Star,2858.4,Standard,2012,9,,
101638,Canada,Ontario,Mississauga,Female,Doctor,140969,Single,Nova,2807.98,Standard,2017,7,,
101639,United Kingdom,,New York,Male,Bachelor,61385,Married,Star,790.69,Standard,2017,2,,
101640,United States,,New York,Female,Bachelor,107610,Single,Aurora,5731.73,Standard,2014,4,,
101641,Canada,Ontario,Mississauga,Female,Bachelor,90035,Married,Star,4101.33,Standard,2017,10,,
101642,Canada,Ontario,Toronto,Male,Bachelor,74432,Single,Star,2519.92,Standard,2018,9,2017.0,11.0
101643,Canada,Ontario,Toronto,Female,College,58488,Single,Aurora,4899.89,Standard,2015,11,,
101644,Canada,Ontario,Toronto,Female,Doctor,120241,Married,Aurora,5064.37,Standard,2013,1,,
101645,Canada,British Columbia,Vancouver,Male,Bachelor,85595,Single,Star,1510.31,Standard,2014,9,2018.0,11.0
101646,Canada,Quebec,Gatineau,Female,Master,83375,Married,Star,391.97,Standard,2015,5,,
101647,Canada,Ontario,London,Male,Bachelor,62432,Single,Star,6987.59,Standard,2014,7,,
101648,Canada,Ontario,Toronto,Male,College,61579,Married,Star,3264.59,Standard,2013,12,,
101649,Canada,Ontario,Ottawa,Female,Bachelor,101676,Divorced,Nova,3839.34,2018 Promotion,2018,3,,
101650,Canada,Ontario,Mississauga,Male,Bachelor,70661,Married,Nova,3380.35,2018 Promotion,2018,3,,
101651,Canada,Alberta,Red Deer,Female,High School or Below,39821,Married,Star,539.25,Standard,2017,4,,
101652,Canada,New Brunswick,Moncton,Female,Bachelor,76554,Married,Star,1636.48,Standard,2014,2,,
101653,Canada,Ontario,Mississauga,Male,Bachelor,74695,Married,Star,644.11,Standard,2016,7,,
101654,Canada,Alberta,Lethbridge,Male,High School or Below,42561,Married,Star,773.15,2018 Promotion,2018,3,2018.0,11.0
101655,Canada,British Columbia,Vancouver,Male,College,62981,Married,Nova,4513.98,2018 Promotion,2018,2,,
101656,United States,,Manchester,Female,Bachelor,78314,Married,Nova,6740.02,Standard,2018,1,,
101657,Canada,British Columbia,Victoria,Female,College,45341,Single,Nova,2367.6,Standard,2016,5,2018.0,5.0
101658,Canada,British Columbia,Burnaby,Female,Master,98562,Married,Nova,4234.12,Standard,2017,9,,
101659,Canada,Manitoba,Winnipeg,Female,High School or Below,47074,Married,Aurora,4784.73,Standard,2015,9,,
101660,Canada,Quebec,Gatineau,Male,Master,92014,Single,Nova,3277.79,Standard,2015,7,,
101661,Canada,British Columbia,Vancouver,Male,Master,111642,Married,Nova,2995.76,2018 Promotion,2018,4,2017.0,10.0
101662,Canada,Alberta,Lethbridge,Male,Doctor,158198,Married,Star,1132.96,2018 Promotion,2018,2,,
101663,Canada,Alberta,Red Deer,Female,High School or Below,46612,Single,Star,2445.74,Standard,2014,12,2018.0,9.0
101664,Canada,Alberta,Edmonton,Female,College,52617,Married,Nova,4016.81,Standard,2012,4,,
101665,United Kingdom,,Manchester,Male,College,71661,Married,Star,7833.7,Standard,2018,12,,
101666,Canada,New Brunswick,Moncton,Male,Master,120408,Divorced,Star,1120.71,Standard,2017,7,,
101667,Canada,Alberta,Red Deer,Female,Master,107902,Single,Star,1184.55,Standard,2017,1,,
101668,United States,,Los Angeles,Male,College,56495,Divorced,Nova,2659.86,Standard,2013,7,,
101669,Canada,Nova Scotia,Halifax,Male,College,68289,Single,Nova,1452.88,Standard,2017,8,,
101670,Canada,Ontario,Toronto,Male,Bachelor,86034,Married,Star,3223.33,Standard,2013,12,,
101671,Canada,Quebec,Quebec City,Male,College,67986,Single,Nova,4078.54,Standard,2016,10,2018.0,8.0
101672,Canada,Ontario,Mississauga,Female,Bachelor,78607,Married,Star,881.77,2018 Promotion,2018,2,,
101673,Canada,British Columbia,Vancouver,Male,Master,98262,Married,Nova,9818.48,2018 Promotion,2018,3,,
101674,Canada,Prince Edward Island,Charlottetown,Female,Bachelor,61150,Married,Aurora,6572.24,Standard,2016,2,,
101675,Canada,Ontario,Toronto,Male,Bachelor,102033,Single,Nova,3154.93,Standard,2016,10,,
101676,Canada,Ontario,London,Female,College,70686,Single,Nova,933.57,Standard,2015,1,,
101677,Canada,Ontario,Hamilton,Female,College,54671,Married,Star,330.9,2018 Promotion,2018,2,2017.0,4.0
101678,Canada,Ontario,Mississauga,Male,Bachelor,84211,Married,Nova,3890.17,Standard,2014,7,2017.0,3.0
101679,Canada,British Columbia,Vancouver,Male,Master,114979,Married,Nova,5087.3,Standard,2016,6,2018.0,6.0
101680,Canada,Ontario,Hamilton,Male,Bachelor,90349,Single,Star,3883.35,2018 Promotion,2018,2,,
101681,Canada,Alberta,Red Deer,Male,College,62407,Single,Star,704.86,Standard,2016,3,,
101682,United Kingdom,,Manchester,Female,College,56025,Single,Star,1641.71,Standard,2013,2,,
101683,Canada,Ontario,London,Male,Bachelor,78509,Married,Nova,5760.79,Standard,2016,5,,
101684,Canada,Ontario,Ottawa,Male,High School or Below,45017,Single,Nova,3145.82,Standard,2012,12,,
101685,Canada,Alberta,Edmonton,Female,High School or Below,42462,Married,Star,2201.76,2018 Promotion,2018,2,,
101686,Canada,Nova Scotia,Dartmouth,Female,High School or Below,57575,Married,Nova,1676.86,Standard,2017,6,,
101687,United States,,Los Angeles,Male,Bachelor,80764,Married,Nova,1201.44,2018 Promotion,2018,3,,
101688,Canada,Ontario,Ottawa,Male,Bachelor,80501,Married,Star,5684.68,Standard,2013,1,,
101689,Canada,Quebec,Montreal,Male,High School or Below,42777,Married,Nova,1753.9,Standard,2016,6,,
101690,Canada,Ontario,Toronto,Male,College,50438,Married,Nova,9311.74,Standard,2017,2,,
101691,Canada,Ontario,Mississauga,Male,Bachelor,92874,Married,Nova,4162.55,Standard,2017,1,,
101692,Canada,Ontario,Toronto,Female,Bachelor,60942,Married,Star,1081.07,Standard,2013,10,,
101693,Canada,Alberta,Lethbridge,Male,Bachelor,86768,Married,Star,4929.75,2018 Promotion,2018,4,,
101694,Canada,Quebec,Quebec City,Female,College,49027,Married,Star,2854.21,Standard,2016,12,,
101695,Canada,Quebec,Laval,Male,Master,111740,Married,Star,527.73,Standard,2018,6,,
101696,Canada,Alberta,Calgary,Female,Bachelor,95681,Married,Star,2542.87,2018 Promotion,2018,3,,
101697,Canada,Quebec,Montreal,Male,Bachelor,90194,Married,Nova,5259.46,Standard,2018,4,,
101698,Canada,British Columbia,Victoria,Female,Master,93663,Married,Aurora,4715.32,Standard,2016,4,,
101699,United States,,Los Angeles,Male,Master,90056,Divorced,Star,1348.83,Standard,2018,12,,
101700,Canada,Quebec,Gatineau,Male,Master,103463,Single,Nova,915.83,Standard,2017,1,,
101701,United States,,Manchester,Female,Bachelor,68179,Married,Star,4195.8,Standard,2015,10,,
101702,Canada,Quebec,Quebec City,Male,Bachelor,72925,Divorced,Nova,4181.75,Standard,2014,12,,
101703,Canada,British Columbia,Burnaby,Female,College,56250,Married,Nova,2566.51,Standard,2015,9,,
101704,Canada,Quebec,Gatineau,Female,Master,113487,Married,Nova,3838.89,2018 Promotion,2018,3,2018.0,8.0
101705,Canada,Quebec,Montreal,Male,College,78092,Married,Nova,2093.62,2018 Promotion,2018,4,2018.0,12.0
101706,Canada,Ontario,Mississauga,Female,Master,107545,Single,Star,2309.5,Standard,2014,5,2017.0,8.0
101707,Canada,Ontario,Toronto,Male,Bachelor,74712,Single,Star,500.97,Standard,2017,5,,
101708,Canada,Ontario,Toronto,Male,College,69548,Married,Nova,9302.52,Standard,2013,5,,
101709,Canada,Manitoba,Brandon,Female,Bachelor,95272,Single,Nova,1600.74,Standard,2018,4,,
101710,Canada,Ontario,Ottawa,Female,Bachelor,92452,Married,Nova,1992.5,Standard,2018,2,,
101711,Canada,Ontario,Mississauga,Male,Master,120723,Married,Star,19995.67,Standard,2017,8,,
101712,Canada,Alberta,Lethbridge,Female,High School or Below,57201,Married,Nova,5051.09,Standard,2014,10,,
101713,Canada,Ontario,London,Male,Master,67807,Married,Star,3396.06,Standard,2017,7,,
101714,Canada,Ontario,Toronto,Female,Master,103266,Married,Star,1322.28,Standard,2016,5,2018.0,11.0
101715,Canada,Alberta,Edmonton,Male,Bachelor,68260,Married,Star,1679.47,2018 Promotion,2018,2,,
101716,United Kingdom,,Manchester,Male,College,64406,Married,Star,10983.94,Standard,2012,9,,
101717,Canada,Ontario,Hamilton,Male,Master,110505,Married,Nova,7860.81,Standard,2018,8,,
101718,Canada,Quebec,Gatineau,Female,Bachelor,87287,Single,Nova,3076.67,Standard,2016,10,,
101719,United Kingdom,,New York,Female,Bachelor,76478,Married,Nova,4171.43,Standard,2017,2,2018.0,5.0
101720,Canada,Quebec,Laval,Male,Master,109756,Single,Aurora,9795.86,Standard,2012,10,,
101721,Canada,British Columbia,Victoria,Female,Bachelor,88564,Married,Star,4665.68,Standard,2018,3,,
101722,Canada,Alberta,Calgary,Female,College,56494,Married,Nova,5672.54,Standard,2013,9,,
101723,Canada,Quebec,Montreal,Male,High School or Below,37767,Single,Nova,1289.3,Standard,2015,4,2017.0,4.0
101724,Canada,Quebec,Gatineau,Male,Bachelor,101149,Married,Star,884.43,Standard,2017,11,,
101725,Canada,British Columbia,Burnaby,Male,College,66834,Single,Star,1601.26,Standard,2014,7,,
101726,Canada,Manitoba,Brandon,Male,College,35000,Married,Star,3218.15,Standard,2015,4,,
101727,Canada,Quebec,Gatineau,Male,Bachelor,68126,Divorced,Star,7061.95,Standard,2018,8,,
101728,United Kingdom,,London,Male,Bachelor,77072,Married,Star,2441.95,Standard,2015,1,,
101729,Canada,Nova Scotia,Dartmouth,Female,Master,115431,Married,Star,323.6,Standard,2014,9,2017.0,2.0
101730,Canada,British Columbia,Victoria,Female,College,43431,Single,Nova,4216.24,Standard,2015,6,,
101731,Canada,Ontario,London,Male,Master,85772,Married,Aurora,10652.83,Standard,2012,1,,
101732,Canada,Manitoba,Winnipeg,Female,Bachelor,79519,Married,Star,4018.66,2018 Promotion,2018,4,,
101733,Canada,Manitoba,Winnipeg,Female,Master,107414,Single,Nova,1169.93,Standard,2013,7,,
101734,Canada,Quebec,Gatineau,Female,Master,94750,Single,Aurora,6230.48,Standard,2016,11,,
101735,Canada,British Columbia,Victoria,Female,Bachelor,86303,Married,Star,1691.51,Standard,2018,11,,
101736,Canada,Alberta,Red Deer,Male,Bachelor,75655,Married,Nova,7096.76,Standard,2017,5,,
101737,Canada,Quebec,Gatineau,Female,Doctor,109468,Divorced,Aurora,3332.5,Standard,2017,6,,
101738,Canada,Ontario,Mississauga,Male,Bachelor,86317,Married,Nova,1438.79,Standard,2013,2,2018.0,10.0
101739,Canada,British Columbia,Vancouver,Male,Bachelor,90682,Divorced,Nova,5155.74,Standard,2012,2,,
101740,Canada,Ontario,Toronto,Female,Bachelor,94572,Married,Star,3103.33,Standard,2015,2,,
101741,Canada,Alberta,Edmonton,Female,College,49556,Married,Star,2055.61,Standard,2018,8,,
101742,Canada,Ontario,Hamilton,Male,Doctor,151061,Single,Nova,863.27,2018 Promotion,2018,3,2017.0,1.0
101743,Canada,British Columbia,Victoria,Male,Bachelor,86988,Single,Star,1959.82,Standard,2017,1,2017.0,2.0
101744,Canada,Ontario,Mississauga,Male,College,75211,Single,Star,1603.37,2018 Promotion,2018,2,2018.0,4.0
101745,Canada,Ontario,Hamilton,Male,High School or Below,38110,Married,Aurora,4435.72,Standard,2016,10,,
101746,Canada,Ontario,Hamilton,Female,Bachelor,83664,Married,Aurora,8471.19,Standard,2015,2,,
101747,Canada,British Columbia,Victoria,Female,Master,104361,Single,Star,198.13,Standard,2015,6,2018.0,11.0
101748,Canada,Manitoba,Brandon,Male,Bachelor,61968,Married,Star,1299.04,Standard,2018,11,,
101749,Canada,Manitoba,Brandon,Male,Doctor,167336,Divorced,Aurora,8900.92,Standard,2018,1,,
101750,Canada,Nova Scotia,Halifax,Female,College,52455,Single,Star,930.5,Standard,2014,5,,
101751,Canada,Saskatchewan,Regina,Male,Bachelor,72123,Married,Star,2570.72,2018 Promotion,2018,4,2018.0,3.0
101752,Canada,Ontario,London,Male,College,58426,Married,Aurora,15730.49,2018 Promotion,2018,4,,
101753,Canada,Ontario,Ottawa,Male,College,53145,Married,Aurora,2918.07,Standard,2014,6,,
101754,Canada,Alberta,Calgary,Male,Bachelor,89812,Divorced,Star,1032.99,Standard,2014,5,2018.0,6.0
101755,United Kingdom,,Chicago,Male,High School or Below,45044,Divorced,Star,4648.93,2018 Promotion,2018,3,,
101756,Canada,British Columbia,Burnaby,Male,College,43380,Married,Nova,2324.89,Standard,2012,12,,
101757,United States,,New York,Female,College,45076,Single,Nova,2649.84,Standard,2018,8,2018.0,3.0
101758,Canada,Ontario,Hamilton,Female,College,63942,Single,Star,2225.22,Standard,2015,10,,
101759,Canada,Ontario,Toronto,Female,Master,93857,Married,Star,1394.5,2018 Promotion,2018,2,,
101760,Canada,British Columbia,Burnaby,Female,Master,103989,Married,Star,582.55,2018 Promotion,2018,3,2018.0,6.0
101761,Canada,Ontario,Mississauga,Female,High School or Below,47191,Single,Aurora,16386.88,Standard,2017,12,,
101762,Canada,Manitoba,Brandon,Male,College,50599,Single,Star,976.4,Standard,2018,2,,
101763,Canada,Saskatchewan,Regina,Female,High School or Below,36320,Single,Aurora,6922.57,2018 Promotion,2018,3,,
101764,Canada,Ontario,London,Female,Master,114361,Single,Star,3097.53,Standard,2012,12,,
101765,Canada,Ontario,London,Female,College,56629,Divorced,Star,2422.27,Standard,2014,6,,
101766,Canada,British Columbia,Burnaby,Male,Master,122944,Divorced,Star,755.54,Standard,2015,3,,
101767,Canada,British Columbia,Victoria,Female,High School or Below,49143,Divorced,Star,1802.67,Standard,2013,8,,
101768,Canada,British Columbia,Burnaby,Female,Bachelor,86820,Married,Star,1238.25,2018 Promotion,2018,3,,
101769,Canada,Quebec,Laval,Female,Bachelor,106565,Married,Nova,4613.41,Standard,2015,8,,
101770,Canada,British Columbia,Vancouver,Male,College,55252,Divorced,Star,1515.15,Standard,2018,1,2017.0,2.0
101771,Canada,Quebec,Laval,Male,Bachelor,76595,Married,Star,1412.25,2018 Promotion,2018,2,,
101772,Canada,Ontario,Mississauga,Female,Bachelor,90492,Married,Star,835.22,Standard,2018,12,2017.0,3.0
101773,Canada,Alberta,Red Deer,Male,Bachelor,81915,Married,Star,1205.02,Standard,2016,9,,
101774,United States,,Chicago,Male,College,54081,Married,Star,1251.23,Standard,2016,3,,
101775,Canada,Ontario,Ottawa,Female,Bachelor,74322,Married,Star,3087.15,Standard,2012,6,,
101776,Canada,Quebec,Laval,Male,Bachelor,65997,Divorced,Aurora,6523.91,2018 Promotion,2018,4,,
101777,Canada,Quebec,Gatineau,Male,College,60818,Single,Nova,930.79,Standard,2014,4,,
101778,Canada,Alberta,Calgary,Female,Master,115396,Single,Star,908.78,Standard,2018,11,,
101779,Canada,Manitoba,Winnipeg,Male,College,59414,Married,Star,1569.97,2018 Promotion,2018,4,2018.0,5.0
101780,Canada,Ontario,Mississauga,Male,Master,116711,Divorced,Nova,932.54,Standard,2017,12,,
101781,Canada,British Columbia,Burnaby,Female,Bachelor,81783,Divorced,Star,3875.82,Standard,2012,7,,
101782,Canada,Nova Scotia,Halifax,Male,Bachelor,78835,Married,Star,1389.6,Standard,2018,10,,
101783,Canada,Ontario,London,Male,High School or Below,47116,Married,Star,2496.1,2018 Promotion,2018,3,2018.0,3.0
101784,Canada,British Columbia,Vancouver,Male,College,58020,Married,Nova,5676.52,Standard,2014,7,,
101785,Canada,Ontario,Ottawa,Male,Bachelor,81751,Married,Aurora,9239.21,Standard,2012,7,,
101786,Canada,Ontario,Ottawa,Female,Master,103621,Married,Aurora,7260.96,Standard,2018,8,,
101787,Canada,Alberta,Red Deer,Female,Doctor,113759,Single,Nova,5997.0,Standard,2018,7,,
101788,Canada,Quebec,Montreal,Male,Master,109174,Married,Nova,3627.73,Standard,2015,2,,
101789,Canada,Quebec,Gatineau,Male,College,50526,Single,Nova,3868.29,Standard,2017,8,,
101790,Canada,Ontario,Ottawa,Male,College,56830,Single,Star,4644.97,Standard,2017,3,,
101791,Canada,Ontario,Mississauga,Male,Bachelor,108600,Divorced,Star,1267.74,Standard,2016,1,,
101792,Canada,Ontario,London,Female,Doctor,161752,Divorced,Star,579.05,Standard,2014,12,,
101793,Canada,Quebec,Gatineau,Female,College,54019,Married,Star,2082.78,2018 Promotion,2018,2,,
101794,Canada,Saskatchewan,Saskatoon,Male,Bachelor,70468,Single,Star,3872.66,Standard,2015,7,,
101795,Canada,British Columbia,Vancouver,Male,Master,99368,Married,Nova,1858.83,2018 Promotion,2018,2,2018.0,3.0
101796,Canada,Ontario,Mississauga,Male,Bachelor,85202,Married,Star,885.23,Standard,2017,6,,
101797,Canada,Ontario,Mississauga,Female,Master,78118,Single,Star,766.84,Standard,2014,11,,
101798,Canada,Manitoba,Brandon,Male,High School or Below,42319,Married,Aurora,4063.64,Standard,2013,8,,
101799,Canada,Ontario,Hamilton,Male,Master,122563,Divorced,Aurora,6829.39,Standard,2013,12,,
101800,Canada,Prince Edward Island,Charlottetown,Female,Bachelor,78675,Single,Star,1684.05,Standard,2017,4,,
101801,United States,,Los Angeles,Female,Bachelor,70364,Married,Star,5465.57,2018 Promotion,2018,2,2017.0,2.0
101802,Canada,British Columbia,Victoria,Male,College,49859,Married,Nova,2142.24,2018 Promotion,2018,2,,
101803,Canada,Ontario,Ottawa,Male,Bachelor,67112,Married,Nova,5499.9,Standard,2018,6,,
101804,Canada,Alberta,Edmonton,Male,Bachelor,98447,Married,Star,2807.89,Standard,2015,9,,
101805,Canada,Alberta,Lethbridge,Male,Bachelor,85296,Single,Aurora,9477.63,Standard,2017,11,,
101806,Canada,Quebec,Quebec City,Female,Doctor,138653,Married,Star,3197.83,Standard,2018,6,,
101807,Canada,Quebec,Gatineau,Female,High School or Below,50646,Single,Nova,3709.28,Standard,2013,8,,
101808,Canada,Ontario,Toronto,Female,Bachelor,92577,Divorced,Aurora,5447.34,Standard,2014,11,,
101809,Canada,Prince Edward Island,Charlottetown,Male,Master,103806,Married,Star,2042.51,Standard,2013,9,,
101810,Canada,Quebec,Laval,Female,Master,112927,Single,Nova,7760.75,Standard,2017,3,,
101811,Canada,Ontario,London,Female,Bachelor,66812,Single,Star,1595.1,2018 Promotion,2018,2,,
101812,Canada,Quebec,Montreal,Male,Master,103533,Single,Nova,6425.73,Standard,2016,12,,
101813,Canada,Ontario,Mississauga,Female,High School or Below,44180,Married,Nova,9294.04,Standard,2017,4,,
101814,Canada,British Columbia,Vancouver,Female,Bachelor,65011,Single,Star,1228.13,Standard,2014,12,,
101815,Canada,Quebec,Gatineau,Male,Doctor,132093,Divorced,Star,805.92,Standard,2012,11,,
101816,United States,,Los Angeles,Male,Doctor,179782,Married,Star,4194.12,2018 Promotion,2018,2,,
101817,Canada,Ontario,Mississauga,Male,Bachelor,87983,Divorced,Nova,4547.37,Standard,2013,6,,
101818,Canada,Ontario,London,Male,College,59168,Married,Nova,2775.32,Standard,2016,7,,
101819,Canada,Quebec,Laval,Female,High School or Below,37728,Divorced,Nova,4828.52,2018 Promotion,2018,3,2018.0,3.0
101820,Canada,Alberta,Calgary,Female,Master,131085,Married,Star,903.74,Standard,2015,3,,
101821,Canada,British Columbia,Burnaby,Female,Master,120132,Single,Star,3205.04,2018 Promotion,2018,3,,
101822,Canada,Ontario,London,Female,College,65470,Married,Star,1213.64,Standard,2018,6,2017.0,9.0
101823,Canada,Ontario,Mississauga,Female,Master,98660,Single,Aurora,5208.29,Standard,2018,6,2017.0,8.0
101824,Canada,Quebec,Gatineau,Male,College,41253,Married,Star,1520.06,Standard,2016,2,2017.0,2.0
101825,Canada,British Columbia,Burnaby,Female,College,71179,Single,Star,2588.1,Standard,2018,10,,
101826,Canada,Ontario,Hamilton,Male,Bachelor,99790,Divorced,Aurora,4097.09,Standard,2016,5,2018.0,8.0
101827,Canada,British Columbia,Victoria,Male,College,59897,Married,Star,1943.39,Standard,2017,9,,
101828,United States,,London,Female,Doctor,113702,Single,Star,2220.29,Standard,2016,2,,
101829,Canada,British Columbia,Victoria,Female,College,63010,Married,Nova,5157.07,Standard,2015,4,,
101830,Canada,Ontario,Hamilton,Male,College,58246,Single,Star,250.79,Standard,2017,7,2018.0,10.0
101831,United Kingdom,,Los Angeles,Male,Bachelor,102322,Married,Nova,4698.66,Standard,2012,2,,
101832,Canada,Prince Edward Island,Charlottetown,Female,Master,104685,Divorced,Nova,2758.23,Standard,2014,10,2018.0,8.0
101833,Canada,Ontario,Ottawa,Female,College,58975,Single,Nova,1577.18,Standard,2017,3,,
101834,Canada,Ontario,Ottawa,Female,Bachelor,76584,Single,Star,3348.96,Standard,2014,6,,
101835,Canada,Quebec,Laval,Male,High School or Below,42689,Single,Star,4072.05,Standard,2018,10,,
101836,Canada,Ontario,Mississauga,Male,High School or Below,37634,Divorced,Aurora,6290.09,Standard,2016,2,2018.0,5.0
101837,Canada,Alberta,Lethbridge,Male,High School or Below,51873,Single,Star,3131.91,Standard,2017,11,,
101838,Canada,Saskatchewan,Saskatoon,Female,Bachelor,66551,Single,Star,1137.31,Standard,2018,10,,
101839,United States,,London,Male,Bachelor,80947,Single,Star,1860.1,Standard,2017,2,,
101840,Canada,Quebec,Quebec City,Male,College,62753,Married,Nova,539.7,Standard,2017,12,,
101841,Canada,New Brunswick,Moncton,Female,Bachelor,62366,Married,Star,4405.7,Standard,2017,3,,
101842,Canada,Ontario,Toronto,Female,Bachelor,75413,Married,Star,7089.47,Standard,2012,10,,
101843,Canada,Ontario,Ottawa,Female,Bachelor,84628,Married,Star,1210.93,Standard,2016,2,2018.0,5.0
101844,Canada,Alberta,Lethbridge,Female,College,59465,Single,Nova,1360.42,Standard,2014,12,,
101845,United States,,New York,Female,Master,104656,Married,Aurora,3631.5,2018 Promotion,2018,4,2017.0,4.0
101846,Canada,Ontario,London,Male,Bachelor,65115,Single,Star,2196.02,Standard,2017,5,,
101847,Canada,British Columbia,Burnaby,Female,College,49639,Married,Aurora,886.83,Standard,2014,10,2018.0,4.0
101848,Canada,Ontario,Mississauga,Male,College,65192,Married,Star,1277.18,Standard,2015,7,,
101849,Canada,British Columbia,Vancouver,Male,Master,119643,Divorced,Star,427.93,Standard,2018,3,,
101850,Canada,Quebec,Quebec City,Female,Master,122304,Single,Star,4581.22,Standard,2017,10,,
101851,Canada,British Columbia,Surrey,Male,Bachelor,81844,Single,Star,2634.64,Standard,2018,12,,
101852,Canada,Quebec,Laval,Male,Master,114019,Married,Nova,1939.79,Standard,2016,9,,
101853,Canada,British Columbia,Victoria,Female,Bachelor,63084,Divorced,Star,3538.75,Standard,2014,2,,
101854,Canada,Ontario,Toronto,Female,College,49256,Married,Star,4065.8,2018 Promotion,2018,4,,
101855,Canada,Ontario,Mississauga,Female,Bachelor,77887,Divorced,Nova,2684.87,Standard,2012,1,,
101856,Canada,Ontario,Toronto,Male,Bachelor,81146,Single,Star,5172.29,2018 Promotion,2018,4,,
101857,Canada,Manitoba,Brandon,Male,College,56179,Single,Nova,9652.43,Standard,2017,10,,
101858,Canada,Quebec,Gatineau,Male,Master,100226,Married,Nova,709.82,Standard,2014,7,,
101859,Canada,Quebec,Quebec City,Male,Bachelor,66987,Married,Star,123.7,Standard,2013,7,,
101860,Canada,British Columbia,Victoria,Male,Doctor,128075,Married,Nova,1212.98,Standard,2012,8,,
101861,Canada,Quebec,Quebec City,Female,Bachelor,65457,Single,Aurora,19708.69,Standard,2016,7,,
101862,Canada,Ontario,Mississauga,Female,Master,122145,Married,Star,1307.3,Standard,2012,7,,
101863,Canada,Ontario,Toronto,Female,Master,89006,Divorced,Nova,2562.3,Standard,2016,7,,
101864,Canada,British Columbia,Burnaby,Female,Master,115131,Single,Aurora,6632.95,2018 Promotion,2018,2,,
